"Consumer Price Index, annual average, not seasonally adjusted" 1 2
"Annual"
"Table: 18-10-0005-01 (formerly CANSIM 326-0021)"
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part"

"","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products and product groups3","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","2002=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food 4","18.5","18.7","20.1","23.1","26.8","30.2","31.1","33.7","38.9","44.0","48.7","54.3","58.2","60.4","63.7","65.5","68.8","71.8","73.7","76.5","79.6","83.4","83.1","84.5","84.9","86.9","88.0","89.4","90.9","92.0","93.3","97.4","100.0","101.7","103.8","106.4","108.9","111.8","115.7","121.4","123.1","127.7","130.8","132.4","135.5","140.5","142.6","142.7","145.3","150.2"
"Rented accommodation","32.4","33.0","33.4","34.0","35.0","36.9","39.5","42.1","44.3","46.4","48.6","51.9","56.5","60.8","63.8","66.6","69.2","71.7","74.5","78.3","81.5","84.3","86.6","88.4","89.9","91.2","92.3","93.5","94.5","95.4","96.5","98.1","100.0","101.5","102.6","103.4","104.4","106.0","107.8","109.5","110.8","112.0","113.6","115.4","117.1","118.5","119.3","120.0","121.4","124.7"
"Owned accommodation","19.2","20.7","22.4","24.6","27.0","29.7","33.9","37.5","40.6","43.1","46.4","52.3","59.4","63.3","65.2","66.9","69.5","73.8","77.9","83.8","89.3","92.5","92.9","93.2","92.3","93.7","93.0","92.1","92.2","93.2","95.6","98.3","100.0","103.0","105.9","109.2","113.7","119.3","124.6","125.9","126.8","128.6","130.1","130.8","133.1","135.2","138.1","141.6","145.3","149.0"
"Water, fuel and electricity","11.5","12.2","12.6","13.9","15.8","17.8","21.1","24.2","27.2","29.8","33.6","41.7","49.2","53.9","56.9","59.9","58.6","58.8","60.4","61.1","64.3","71.9","75.3","78.3","80.1","79.3","80.6","83.0","83.3","85.5","94.4","102.7","100.0","108.9","112.5","119.8","125.9","126.6","135.5","125.9","131.3","136.6","138.2","143.0","153.9","153.0","154.4","154.3","155.9","159.5"
"Furniture and household textiles","..","..","..","..","..","..","..","..","..","51.9","56.3","61.8","66.3","68.5","71.6","73.7","76.2","79.1","82.5","86.0","87.2","91.1","90.9","91.5","91.4","92.3","92.0","92.4","93.9","96.9","98.1","98.6","100.0","100.4","100.0","100.3","99.3","99.2","97.5","98.6","96.0","94.6","93.3","94.3","93.1","95.8","97.7","96.5","95.3","95.1"
"Household appliances","..","..","..","..","..","..","..","..","..","70.6","73.9","79.7","87.1","91.8","93.0","93.6","95.2","96.6","97.4","100.0","100.0","100.7","99.4","98.9","99.3","99.7","100.1","100.1","100.0","100.9","100.7","99.9","100.0","99.1","97.2","94.6","92.2","90.2","87.4","87.4","85.7","84.7","85.8","83.4","82.8","86.1","88.8","87.6","87.1","86.5"
"Clothing","..","..","..","..","..","..","..","..","..","..","..","..","..","67.8","69.6","71.9","73.9","76.8","81.0","84.3","86.6","95.2","96.2","97.1","97.8","97.7","97.4","99.1","100.1","101.4","101.1","101.3","100.0","97.2","96.7","95.4","92.9","92.2","89.2","87.6","84.1","83.6","82.8","82.2","83.1","84.5","84.1","82.9","83.9","85.1"
"Purchase of passenger vehicles 5","25.9","26.8","27.4","27.5","29.4","31.3","33.1","35.3","38.4","43.1","48.1","53.6","56.1","58.4","60.8","63.6","68.8","70.2","73.2","77.3","77.6","76.1","79.2","82.6","88.1","93.2","97.0","99.1","99.9","101.3","100.5","100.4","100.0","99.2","98.7","100.0","101.6","100.1","93.2","87.7","90.8","91.0","92.3","93.1","94.3","95.8","100.0","101.8","103.3","105.9"
