"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","18.5","","","","1"
"1971","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","18.7","","","","1"
"1972","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","20.1","","","","1"
"1973","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","23.1","","","","1"
"1974","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","26.8","","","","1"
"1975","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","30.2","","","","1"
"1976","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","31.1","","","","1"
"1977","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","33.7","","","","1"
"1978","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","38.9","","","","1"
"1979","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","44.0","","","","1"
"1980","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","48.7","","","","1"
"1981","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","54.3","","","","1"
"1982","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","58.2","","","","1"
"1983","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","60.4","","","","1"
"1984","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","63.7","","","","1"
"1985","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","65.5","","","","1"
"1986","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","68.8","","","","1"
"1987","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","71.8","","","","1"
"1988","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","73.7","","","","1"
"1989","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","76.5","","","","1"
"1990","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","79.6","","","","1"
"1991","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","83.4","","","","1"
